lakeid,year4,daynum,sampledate,depth,cl,so4,ca,mg,na,k,fe,mn
CR,2013,220,8/8/2013,0,0.44,2.13,1.04,0.24,0.38,0.35,0.01,0.01
CR,2013,220,8/8/2013,8,0.45,2.14,1.05,0.24,0.38,0.36,0.01,0.02
CR,2013,220,8/8/2013,18,0.49,2.07,1.14,0.25,0.39,0.36,0.1,0.11
CR,2013,220,8/8/2013,18,0.48,2.06,1.11,0.25,0.39,0.38,0.1,0.11
CR,2013,317,11/13/2013,0,0.46,2.19,1.06,0.24,0.4,0.33,0,0.06
CR,2013,317,11/13/2013,10,0.45,2.19,1.06,0.24,0.4,0.33,0,0.06
CR,2013,317,11/13/2013,18,0.51,2.19,1.08,0.25,0.39,0.34,0,0.06
CR,2013,317,11/13/2013,18,0.46,2.19,1.06,0.24,0.37,0.32,0,0.06
CR,2014,72,3/13/2014,0,0.69,3.09,1.3,0.29,0.26,0.42,0,0.06
CR,2014,72,3/13/2014,10,0.58,2.65,1.09,0.24,0.2,0.34,0,0.06
CR,2014,72,3/13/2014,10,0.59,2.68,1.08,0.24,0.2,0.34,0,0.06
CR,2014,72,3/13/2014,18,0.66,2.7,1.07,0.25,0.2,0.35,0.01,0.09
CR,2014,142,5/22/2014,0,0.33,2.26,1.06,0.26,-0.08,0.29,0,0.01
CR,2014,142,5/22/2014,10,0.28,1.68,1.07,0.26,-0.14,0.3,0,0
CR,2014,142,5/22/2014,18,0.41,2.53,1.1,0.26,-0.09,0.29,0,0.04
CR,2014,142,5/22/2014,18,0.35,2.52,1.1,0.26,-0.08,0.3,0,0.03
CR,2014,225,8/13/2014,0,0.63,2.32,1.03,0.25,0.37,0.34,0.01,0
CR,2014,225,8/13/2014,5,0.68,2.35,1.04,0.25,0.37,0.34,0.01,0
CR,2014,225,8/13/2014,8,0.63,2.34,1.03,0.25,0.37,0.33,0.01,0
CR,2014,225,8/13/2014,12,0.64,2.5,1.05,0.26,0.38,0.33,0.02,0.07
CR,2014,225,8/13/2014,15,0.65,2.51,1.06,0.27,0.38,0.35,0.04,0.2
CR,2014,225,8/13/2014,18,0.65,2.47,1.07,0.28,0.39,0.36,0.06,0.22
CR,2014,225,8/13/2014,18,0.71,2.5,1.07,0.28,0.38,0.35,0.06,0.23
CR,2014,317,11/13/2014,0,0.5,2.44,1.01,0.25,0.39,0.37,0.04,0.06
CR,2014,317,11/13/2014,10,0.54,2.56,1.06,0.25,0.39,0.36,0.04,0.06
CR,2014,317,11/13/2014,10,0.5,2.53,1.06,0.25,0.38,0.35,0.05,0.06
CR,2014,317,11/13/2014,19,0.48,2.47,1.07,0.26,0.4,0.36,0.04,0.06
CR,2015,58,2/27/2015,0,0.51,2.42,0.85,0.25,0.32,0.3,0.01,0.05
CR,2015,58,2/27/2015,10,0.45,2.31,0.84,0.24,0.31,0.29,0.04,0.06
CR,2015,58,2/27/2015,10,0.46,2.33,0.87,0.24,0.32,0.31,0.05,0.06
CR,2015,58,2/27/2015,19,0.67,2,1.2,0.28,0.35,0.37,1.93,0.24
CR,2015,110,4/20/2015,0,0.49,2.7,1.52,0.26,0.42,0.37,0.01,0.03
CR,2015,110,4/20/2015,0,0.34,2.04,1.55,0.27,0.43,0.38,0.01,0.03
CR,2015,110,4/20/2015,10,0.34,1.9,1.54,0.27,0.43,0.37,0.01,0.02
CR,2015,110,4/20/2015,19,0.43,2.46,1.56,0.27,0.42,0.37,0.03,0.05
CR,2015,222,8/10/2015,0,0.99,2.57,1.05,0.23,0.33,0.33,0,0
CR,2015,222,8/10/2015,8,0.98,2.51,1.04,0.22,0.32,0.32,0,0
CR,2015,222,8/10/2015,12,0.97,2.67,1.06,0.23,0.33,0.32,0,0.02
CR,2015,222,8/10/2015,12,0.99,2.69,1.04,0.23,0.34,0.33,0,0.02
CR,2015,222,8/10/2015,15,0.99,0.63,1.13,0.24,0.34,0.34,0.02,0.16
CR,2015,222,8/10/2015,19,1.01,2.5,1.29,0.25,0.36,0.36,0.07,0.21
CR,2015,314,11/10/2015,0,0.81,2.36,1.05,0.24,0.33,0.32,0.01,0.05
CR,2015,314,11/10/2015,10,0.8,2.35,1.05,0.24,0.33,0.32,0.01,0.05
CR,2015,314,11/10/2015,18,0.81,2.31,1.11,0.24,0.34,0.34,0.06,0.11
CR,2015,314,11/10/2015,19,0.83,2.34,1.08,0.23,0.33,0.33,0.08,0.1
CR,2016,56,2/25/2016,0,0.64,2.7,1.14,0.29,,0.37,0,0.04
CR,2016,56,2/25/2016,10,0.56,2.42,1.03,0.25,,0.34,0,0.04
CR,2016,56,2/25/2016,18,0.57,2.41,1.18,0.28,,0.37,0.03,0.22
CR,2016,56,2/25/2016,19,0.6,2.34,1.19,0.28,,0.37,0.03,0.22
CR,2016,117,4/26/2016,0,0.59,2.41,1.08,0.22,,0.29,0,0
CR,2016,117,4/26/2016,10,0.59,2.41,1.11,0.23,,0.3,0,0.01
CR,2016,117,4/26/2016,10,0.6,2.41,1.12,0.23,,0.3,0,0.01
CR,2016,117,4/26/2016,18,0.61,2.45,1.16,0.24,,0.32,0.01,0.09
CR,2016,230,8/17/2016,0,0.38,2.25,1.06,0.25,,0.32,0,0
CR,2016,230,8/17/2016,5,0.38,2.25,1.05,0.25,,0.33,0,0
CR,2016,230,8/17/2016,10,0.39,2.38,1.18,0.26,,0.32,0,0
CR,2016,230,8/17/2016,12,0.39,2.39,1.23,0.27,,0.33,0.01,0.03
CR,2016,230,8/17/2016,15,0.41,2.37,1.35,0.28,,0.35,0.08,0.19
CR,2016,230,8/17/2016,19,0.41,2.29,1.39,0.29,,0.37,0.26,0.33
CR,2016,230,8/17/2016,19,0.41,2.33,1.38,0.28,,0.4,0.36,0.33
CR,2016,319,11/14/2016,0,0.41,2.28,1.16,0.27,,0.32,0.02,0.04
CR,2016,319,11/14/2016,10,0.41,2.3,1.17,0.27,,0.33,0.02,0.04
CR,2016,319,11/14/2016,19,0.45,1.45,1.69,0.29,,0.38,1.66,0.29
CR,2016,319,11/14/2016,19,0.44,1.58,1.64,0.29,,0.37,1.44,0.26
CR,2017,47,2/16/2017,0,0.75,2.96,1.42,0.31,0.42,0.41,0,0.05
CR,2017,47,2/16/2017,10,0.55,2.3,1.16,0.24,0.32,0.32,0,0.04
CR,2017,47,2/16/2017,19,0.58,2.13,1.27,0.25,0.33,0.35,0.02,0.13
CR,2017,47,2/16/2017,19,0.57,2.12,1.25,0.26,0.33,0.35,0.02,0.13
CR,2017,108,4/18/2017,0,0.52,2.3,1.07,0.22,0.23,0.31,0,0.03
CR,2017,108,4/18/2017,10,0.52,2.56,1.07,0.22,0.23,0.31,0,0.03
CR,2017,108,4/18/2017,10,0.53,2.3,1.07,0.22,0.22,0.31,0,0.03
CR,2017,108,4/18/2017,19,0.53,2.25,1.04,0.22,0.24,0.31,0,0.02
CR,2017,220,8/8/2017,0,0.41,2.37,1.07,0.25,0.29,0.24,0,0
CR,2017,220,8/8/2017,0,0.41,2.19,1.08,0.25,0.29,0.22,0,0
CR,2017,220,8/8/2017,5,0.41,2.17,1.09,0.25,0.28,0.24,0,0
CR,2017,220,8/8/2017,10,0.41,2.24,1.1,0.25,0.29,0.2,0,0
CR,2017,220,8/8/2017,12,0.42,2.29,1.14,0.26,0.32,0.25,0,0
CR,2017,220,8/8/2017,15,0.42,2.19,1.23,0.26,0.31,0.24,0.01,0.13
CR,2017,220,8/8/2017,19,0.43,2.05,1.32,0.27,0.27,0.23,0.06,0.18
CR,2017,317,11/13/2017,0,0.55,2.11,1.09,0.24,0.23,0.31,0.01,0.04
CR,2017,317,11/13/2017,0,0.54,2.15,1.1,0.25,0.23,0.32,0.01,0.04
CR,2017,317,11/13/2017,10,0.58,2.28,1.11,0.25,0.24,0.32,0.01,0.04
CR,2017,317,11/13/2017,19,0.55,2.11,1.12,0.25,0.24,0.32,0.02,0.04
CR,2018,50,2/19/2018,0,0.65,2.19,1.53,0.35,0.44,0.47,0,0.04
CR,2018,50,2/19/2018,10,0.66,2.39,1.26,0.32,0.35,0.36,0.02,0.04
CR,2018,50,2/19/2018,19,0.68,2.22,1.49,0.29,0.34,0.39,0.34,0.15
CR,2018,50,2/19/2018,19,0.68,2.21,1.51,0.29,0.35,0.39,0.34,0.15
CR,2018,135,5/15/2018,0,0.46,2.04,1.07,0.24,0.33,0.33,0,0.02
CR,2018,135,5/15/2018,10,0.47,2.09,1.11,0.25,0.33,0.34,0,0.03
CR,2018,135,5/15/2018,10,0.47,2.09,1.11,0.25,0.33,0.33,0,0.03
CR,2018,135,5/15/2018,19,0.48,2.04,1.14,0.26,0.35,0.35,0.03,0.07
CR,2018,220,8/8/2018,0,0.6,2.06,1.01,0.2,0.36,0.34,0,0
CR,2018,220,8/8/2018,5,0.61,2.06,1.02,0.2,0.37,0.34,0,0
CR,2018,220,8/8/2018,8,0.61,2.15,1.08,0.21,0.37,0.34,0,0
CR,2018,220,8/8/2018,10,0.61,2.48,1.11,0.22,0.37,0.34,0,0
CR,2018,220,8/8/2018,15,0.61,1.65,1.25,0.23,0.37,0.37,0.12,0.12
CR,2018,220,8/8/2018,19,0.7,2.27,1.31,0.24,0.38,0.38,0.82,0.2
CR,2018,220,8/8/2018,19,0.65,2.04,1.32,0.24,0.38,0.38,0.83,0.2
CR,2018,315,11/11/2018,0,0.62,2.18,1.07,0.25,0.32,0.32,0.01,0.02
CR,2018,315,11/11/2018,10,0.63,2.25,1.07,0.25,0.32,0.32,0.02,0.02
CR,2018,315,11/11/2018,10,0.64,2.38,1.07,0.26,0.32,0.32,0.01,0.02
CR,2018,315,11/11/2018,19,0.63,2.19,1.04,0.25,0.31,0.31,0.02,0.02
FI,2013,45,2/14/2013,0,8.97,1.56,30.21,23.6,5.29,2.69,0,0
FI,2013,45,2/14/2013,4,,,29.84,23.82,4.66,2.7,0,0
FI,2013,45,2/14/2013,8,9.14,1.57,29.98,23.5,5.36,2.72,0,0
FI,2013,45,2/14/2013,12,,,30.74,23.98,5.31,2.71,0,0
FI,2013,45,2/14/2013,16,8.98,1.41,33.05,24.29,5.26,2.74,0,0.29
FI,2013,45,2/14/2013,16,9.02,1.56,30.1,23.33,5.26,2.7,0,0
FI,2013,128,5/8/2013,0,8.67,2.69,28.49,21.14,4.72,2.46,0,0
FI,2013,128,5/8/2013,4,,,28.82,21.78,4.63,2.47,0,0
FI,2013,128,5/8/2013,8,8.57,2.35,29.19,21.67,4.68,2.5,0,0
FI,2013,128,5/8/2013,8,8.65,2.53,28.97,21.5,4.69,2.52,0,0
FI,2013,128,5/8/2013,12,,,29.03,21.5,4.67,2.5,0,0
FI,2013,128,5/8/2013,16,3.65,0.98,29.87,21.96,4.74,2.55,0,0.08
FI,2013,140,5/20/2013,0,,,27.64,20.97,4.64,2.26,0,0
FI,2013,140,5/20/2013,4,,,28.33,21.47,4.66,2.29,0,0
FI,2013,140,5/20/2013,8,,,29.91,21.59,4.7,2.31,0,0
FI,2013,140,5/20/2013,8,,,28.7,21.44,4.75,2.33,0,0
FI,2013,140,5/20/2013,12,,,29.28,21.45,4.72,2.36,0,0
FI,2013,140,5/20/2013,16,,,29.93,21.73,4.71,2.38,0,0.1
FI,2013,150,5/30/2013,0,,,26.94,20.8,4.62,2.23,0,0
FI,2013,150,5/30/2013,4,,,27.29,20.94,4.74,2.25,0,0.01
FI,2013,150,5/30/2013,4,,,27.37,21.11,4.85,2.23,0,0.01
FI,2013,164,6/13/2013,0,,,24.49,20.69,4.59,2.28,0,0
FI,2013,164,6/13/2013,4,,,25.98,20.58,4.68,2.29,0,0
FI,2013,164,6/13/2013,8,,,28.69,21.14,4.7,2.32,0,0
FI,2013,164,6/13/2013,10,,,29.61,21.39,4.75,2.36,0,0.02
FI,2013,164,6/13/2013,12,,,29.12,21.14,4.64,2.36,0,0.02
FI,2013,164,6/13/2013,14,,,29.52,21.1,5.52,2.43,0,0.18
FI,2013,164,6/13/2013,14,,,31.16,22.39,4.87,2.53,0.01,0.2
FI,2013,164,6/13/2013,16,,,29.68,21.2,5.19,2.4,0.06,0.35
FI,2013,164,6/13/2013,18,,,30.11,21.44,4.82,2.41,0.09,0.44
FI,2013,177,6/26/2013,0,,,20.44,20.08,4.41,2.26,0,0
FI,2013,177,6/26/2013,0,,,20.4,20.03,4.31,2.26,0,0
FI,2013,177,6/26/2013,4,,,22.17,20.92,4.48,2.32,0,0
FI,2013,191,7/10/2013,0,,,19.61,19.36,4.39,2.12,0,0.03
FI,2013,191,7/10/2013,4,,,20.95,19.77,4.4,2.12,0,0
FI,2013,191,7/10/2013,8,,,29.02,21.09,4.72,2.25,0,0
FI,2013,191,7/10/2013,10,,,30.97,21.4,4.69,2.29,0,0
FI,2013,191,7/10/2013,12,,,31.15,21.42,4.73,2.32,0,0.08
FI,2013,191,7/10/2013,14,,,30.36,21.25,4.67,2.3,0,0.27
FI,2013,191,7/10/2013,16,,,30.34,21.29,4.84,2.36,0.19,0.61
FI,2013,191,7/10/2013,16,,,31.07,21.84,4.86,2.35,0.24,0.62
FI,2013,191,7/10/2013,18,,,30.6,21.39,4.77,2.32,0.49,0.65
FI,2013,204,7/23/2013,0,,,16.57,15.42,4.18,2.4,0,0
FI,2013,204,7/23/2013,0,,,18.23,18.23,4.32,2.39,0,0
FI,2013,204,7/23/2013,4,,,17.67,18.82,4.33,2.39,0,0
FI,2013,219,8/7/2013,0,8.52,2.32,19.74,19.9,4.45,2.4,0,0
FI,2013,219,8/7/2013,4,8.49,1.71,19.71,19.54,4.5,2.39,0,0
FI,2013,219,8/7/2013,4,8.53,1.89,19.42,19.56,4.49,2.39,0,0
FI,2013,219,8/7/2013,6,8.48,2.41,24.93,20.34,4.51,2.39,0,0
FI,2013,219,8/7/2013,8,8.6,2.23,29.76,20.86,4.6,2.44,0,0
FI,2013,219,8/7/2013,10,,,31.44,20.94,4.59,2.45,0,0.06
FI,2013,219,8/7/2013,12,8.64,2.46,30.88,21.03,4.65,2.48,0.01,0.19
FI,2013,219,8/7/2013,14,,,31.08,21.14,4.64,2.52,0.29,0.45
FI,2013,219,8/7/2013,16,8.65,1.63,30.91,20.82,4.64,2.54,0.78,0.6
FI,2013,219,8/7/2013,18,8.76,1.58,31.2,21.05,4.69,2.58,1,0.64
FI,2013,232,8/20/2013,0,,,19.54,20.52,4.45,2.42,0,0
FI,2013,232,8/20/2013,4,,,20.07,20.31,4.52,2.44,0,0
FI,2013,232,8/20/2013,4,,,19.94,20.09,4.59,2.42,0,0
FI,2013,255,9/12/2013,0,,,20.1,20.54,4.5,2.39,0,0
FI,2013,255,9/12/2013,4,,,19.86,20.05,4.82,2.38,0,0
FI,2013,255,9/12/2013,8,,,30.61,21.15,4.5,2.42,0.01,0.08
FI,2013,255,9/12/2013,10,,,31.74,21.3,4.65,2.48,0.05,0.13
FI,2013,255,9/12/2013,12,,,31.52,21.26,4.6,2.49,0.26,0.3
FI,2013,255,9/12/2013,12,,,31.62,21.27,4.52,2.52,0.35,0.35
FI,2013,255,9/12/2013,14,,,31.7,21.23,4.66,2.54,0.48,0.42
FI,2013,255,9/12/2013,16,,,-99,-99,-99,-99,-99,-99
FI,2013,255,9/12/2013,18,,,-99,-99,-99,-99,-99,-99
FI,2013,276,10/3/2013,0,,,20.93,20.26,4.32,2.36,0,0
FI,2013,276,10/3/2013,4,,,20.62,20.11,4.3,2.33,0,0
FI,2013,276,10/3/2013,8,,,23.06,20.25,4.34,2.35,0,0
FI,2013,276,10/3/2013,16,,,32.02,21.27,4.53,2.54,0.81,0.54
FI,2013,276,10/3/2013,16,,,31.96,21.14,4.46,2.51,0.84,0.54
FI,2013,305,11/1/2013,0,8.68,3.09,25.57,21.2,4.82,2.44,0,0
FI,2013,305,11/1/2013,0,8.66,3.18,25.91,21.41,4.79,2.41,0.01,0
FI,2013,305,11/1/2013,4,8.67,2.98,25.73,21.23,4.74,2.38,0,0
FI,2013,305,11/1/2013,16,8.74,3.18,26.56,21.26,4.86,2.42,0.02,0.07
FI,2014,85,3/26/2014,0,9.15,1.61,28.82,22.54,4.88,2.46,0,0
FI,2014,85,3/26/2014,4,,,29.72,23.23,5.02,2.5,0,0
FI,2014,85,3/26/2014,8,9.62,1.64,29.67,23.4,5,2.51,0,0
FI,2014,85,3/26/2014,12,,,-99,-99,-99,-99,-99,-99
FI,2014,85,3/26/2014,16,9.6,1.32,33.42,23.96,5.19,2.59,0.07,0.87
FI,2014,85,3/26/2014,16,9.6,1.34,33.45,23.89,5.06,2.59,0.08,0.88
FI,2014,121,5/1/2014,0,8.53,1.55,28.52,21.64,4.5,2.29,0,0
FI,2014,121,5/1/2014,4,,,28.35,21.28,4.58,2.26,0,0
FI,2014,121,5/1/2014,8,8.46,1.54,28.27,21.36,4.56,2.27,0,0
FI,2014,121,5/1/2014,12,,,28.42,21.35,4.54,2.28,0,0
FI,2014,121,5/1/2014,16,8.52,1.55,28.11,21.58,5.84,2.31,0,0
FI,2014,121,5/1/2014,16,8.72,1.57,28.4,21.28,4.86,2.28,0,0
FI,2014,133,5/13/2014,0,,,28.49,21.34,4.46,2.21,0,0
FI,2014,133,5/13/2014,4,,,28.36,21.43,4.56,2.21,0,0
FI,2014,133,5/13/2014,8,,,28.47,21.62,4.58,2.26,0,0
FI,2014,133,5/13/2014,8,,,28.98,21.57,4.63,2.25,0,0
FI,2014,133,5/13/2014,12,,,28.73,21.63,4.57,2.27,0,0
FI,2014,133,5/13/2014,16,,,29.1,21.43,4.65,2.28,0,0
FI,2014,149,5/29/2014,0,,,28.44,20.99,2.34,2.31,0.01,0
FI,2014,149,5/29/2014,0,,,28.69,21.16,2.27,2.3,0,0
FI,2014,149,5/29/2014,4,,,28.96,21.18,2.17,2.29,0,0
FI,2014,162,6/11/2014,0,,,25.72,21.09,2.11,2.24,0,0
FI,2014,162,6/11/2014,4,,,25.75,20.92,2,2.23,0,0
FI,2014,162,6/11/2014,4,,,25.89,21.13,1.84,2.22,0,0
FI,2014,162,6/11/2014,8,,,28.93,21.11,1.97,2.31,0,0
FI,2014,162,6/11/2014,10,,,29.2,21.3,2.12,2.32,0,0.01
FI,2014,162,6/11/2014,12,,,29.35,21.42,2.14,2.32,0,0.03
FI,2014,162,6/11/2014,14,,,29.26,21.36,2.09,2.34,0.04,0.15
FI,2014,162,6/11/2014,16,,,29.71,21.43,2.02,2.34,0.27,0.39
FI,2014,162,6/11/2014,18,,,29.64,21.31,1.99,2.36,0.33,0.41
FI,2014,176,6/25/2014,0,,,22,19.97,4.17,2.28,0,0
FI,2014,176,6/25/2014,4,,,23.48,20.15,4.14,2.31,0,0
FI,2014,176,6/25/2014,4,,,23.43,20.08,4.07,2.3,0,0
FI,2014,189,7/8/2014,0,,,21.97,20.37,4.44,2.33,0,0
FI,2014,189,7/8/2014,4,,,22.3,20.05,4.46,2.28,0,0
FI,2014,189,7/8/2014,8,,,28.79,20.95,4.09,2.39,0,0
FI,2014,189,7/8/2014,10,,,29.03,20.78,4.32,2.45,0,0.01
FI,2014,189,7/8/2014,12,,,29.21,21,4.13,2.46,0,0.14
FI,2014,189,7/8/2014,12,,,29.28,21.49,4.54,2.45,0,0.14
FI,2014,189,7/8/2014,14,,,29.09,20.82,4.11,2.45,0.09,0.36
FI,2014,189,7/8/2014,16,,,29.72,21.2,4.22,2.52,0.49,0.45
FI,2014,189,7/8/2014,18,,,-99,-99,-99,-99,-99,-99
FI,2014,203,7/22/2014,0,,,20.2,19.49,4.12,2.26,0.02,0
FI,2014,203,7/22/2014,0,,,20.37,19.32,4.25,2.3,0.02,0
FI,2014,203,7/22/2014,4,,,21.58,19.2,4.12,2.3,0.02,0
FI,2014,219,8/7/2014,0,8.57,1.49,17.86,19.36,4.24,2.28,0.02,0
FI,2014,219,8/7/2014,4,8.55,1.6,19.94,19.14,4.22,2.29,0.02,0
FI,2014,219,8/7/2014,6,8.44,1.69,24.03,19.49,4.21,2.31,0.02,0.04
FI,2014,219,8/7/2014,8,8.45,0.66,29.7,19.73,4.3,2.37,0.02,0.04
FI,2014,219,8/7/2014,10,,,28.92,19.99,4.21,2.4,0.07,0.09
FI,2014,219,8/7/2014,12,8.44,1.01,28.89,19.83,4.23,2.43,0.24,0.34
FI,2014,219,8/7/2014,14,,,29.48,20.14,4.24,2.47,0.74,0.47
FI,2014,219,8/7/2014,14,8.46,0.66,29.29,20.19,4.31,2.47,0.74,0.47
FI,2014,219,8/7/2014,16,8.46,0.63,29.42,20.08,4.26,2.5,0.8,0.48
FI,2014,219,8/7/2014,18,-99,1.52,-99,-99,-99,-99,-99,-99
FI,2014,230,8/18/2014,0,,,19.01,19.37,4.43,2.29,0.01,0
FI,2014,230,8/18/2014,0,,,18.99,19.51,4.6,2.32,0.02,0
FI,2014,230,8/18/2014,4,,,18.93,19.39,4.44,2.27,0.02,0
FI,2014,252,9/9/2014,0,,,19.88,19.55,4.46,2.31,0.01,0
FI,2014,252,9/9/2014,4,,,19.23,19.28,4.41,2.31,0.02,0
FI,2014,252,9/9/2014,8,,,30.09,19.68,4.39,2.36,0.03,0.05
FI,2014,252,9/9/2014,10,,,30.14,19.81,4.47,2.37,0.1,0.11
FI,2014,252,9/9/2014,12,,,30.02,19.98,4.41,2.41,0.38,0.32
FI,2014,252,9/9/2014,12,,,29.73,19.66,4.35,2.42,0.37,0.32
FI,2014,252,9/9/2014,14,,,30.56,19.79,4.37,2.43,0.55,0.4
FI,2014,252,9/9/2014,16,,,30.37,19.89,4.37,2.44,0.72,0.45
FI,2014,252,9/9/2014,18,,,30.95,19.83,4.49,2.54,0.86,0.48
FI,2014,275,10/2/2014,0,,,21.33,20.18,4.54,2.44,0.02,0.01
FI,2014,275,10/2/2014,4,,,21.62,20.48,4.58,2.44,0,0
FI,2014,275,10/2/2014,8,,,21.09,20.56,4.51,2.43,0,0.01
FI,2014,275,10/2/2014,16,,,30.59,20.7,4.47,2.56,0.78,0.46
FI,2014,275,10/2/2014,16,,,30,20.68,4.5,2.55,0.75,0.45
FI,2014,308,11/4/2014,0,8.69,1.45,28.06,20.82,5.3,2.4,0.02,0
FI,2014,308,11/4/2014,4,8.67,1.41,28.53,20.96,5.22,2.38,0.02,0
FI,2014,308,11/4/2014,16,8.68,1.45,28.53,21.12,5.34,2.4,0.02,0
FI,2014,308,11/4/2014,16,8.68,1.45,28.23,20.91,5.33,2.4,0.03,0
FI,2015,16,1/16/2015,0,9.17,1.67,25.29,19.73,4.44,2.34,0,0
FI,2015,16,1/16/2015,4,,,24.91,19.75,4.78,2.33,0,0
FI,2015,16,1/16/2015,8,9.22,1.7,25.21,19.73,4.69,2.38,0,0
FI,2015,16,1/16/2015,12,,,25.55,19.98,4.49,2.38,0,0
FI,2015,16,1/16/2015,16,9.35,1.66,26.91,20.26,4.6,2.36,0.01,0.19
FI,2015,16,1/16/2015,16,9.43,1.68,26.2,20.11,4.71,2.48,0.01,0.18
FI,2015,89,3/30/2015,0,,,37.8,22.07,6.38,2.67,0,0
FI,2015,89,3/30/2015,0,,,37.19,21.94,5.76,2.41,0.01,0
FI,2015,89,3/30/2015,4,,,37.62,22.05,6.67,2.71,0,0
FI,2015,105,4/15/2015,0,8.61,1.71,38.2,21.9,5.64,2.36,0,0
FI,2015,105,4/15/2015,0,8.56,1.71,38.13,21.78,5.66,2.37,0,0
FI,2015,105,4/15/2015,4,,,37.99,21.78,5.58,2.32,0,0
FI,2015,105,4/15/2015,8,8.59,1.77,38.03,21.69,5.64,2.32,0,0
FI,2015,105,4/15/2015,12,,,38.05,21.76,5.5,2.31,0.01,0
FI,2015,105,4/15/2015,16,8.58,1.78,38.06,21.83,5.62,2.32,0.01,0.01
FI,2015,120,4/30/2015,0,,,38.49,21.38,5.45,2.26,0,0
FI,2015,120,4/30/2015,4,,,38.83,21.74,5.43,2.27,0,0
FI,2015,120,4/30/2015,4,,,39.03,21.59,5.49,2.33,0,0
FI,2015,132,5/12/2015,0,,,29.34,21.21,4.53,2.31,0.01,0
FI,2015,132,5/12/2015,4,,,29.85,21.6,4.86,2.36,0.01,0.01
FI,2015,132,5/12/2015,4,,,29.65,21.67,4.69,2.41,0.01,0
FI,2015,132,5/12/2015,8,,,30.19,21.77,4.71,2.38,0,0
FI,2015,132,5/12/2015,12,,,31.01,21.9,4.71,2.42,0,0
FI,2015,132,5/12/2015,16,,,30.36,21.72,4.79,2.45,0.02,0.21
FI,2015,149,5/29/2015,0,,,28.98,21.37,4.69,2.35,0.01,0
FI,2015,149,5/29/2015,4,,,29.38,21.54,4.84,2.29,0.01,0
FI,2015,149,5/29/2015,4,,,29.3,21.22,5,2.31,0.01,0
FI,2015,161,6/10/2015,0,,,25.22,21.48,4.89,2.31,0,0
FI,2015,161,6/10/2015,4,,,27.11,21.62,4.81,2.31,0,0
FI,2015,161,6/10/2015,8,,,31.23,21.84,4.88,2.39,0,0
FI,2015,161,6/10/2015,10,,,31.9,21.95,4.97,2.45,0.01,0
FI,2015,161,6/10/2015,12,,,32.37,22.25,5.07,2.47,0.01,0
FI,2015,161,6/10/2015,12,,,32.47,21.9,4.91,2.24,0.01,0
FI,2015,161,6/10/2015,14,,,32.23,22.16,5.01,2.47,0.08,0.26
FI,2015,161,6/10/2015,16,,,32.56,21.99,5,2.48,0.52,0.54
FI,2015,161,6/10/2015,18,,,32.95,22.43,4.93,2.5,0.41,0.56
FI,2015,176,6/25/2015,0,,,23.2,20.99,4.93,2.27,0,0
FI,2015,176,6/25/2015,4,,,24.54,21.04,4.83,2.28,0,0
FI,2015,176,6/25/2015,4,,,24.59,20.88,4.83,2.31,0,0
FI,2015,188,7/7/2015,0,,,23.57,21.25,99.99,2.33,0,0
FI,2015,188,7/7/2015,4,,,24.59,21.17,4.99,2.3,0,0
FI,2015,188,7/7/2015,8,,,32.38,21.89,5.01,2.37,0,0
FI,2015,188,7/7/2015,10,,,33.62,21.74,5.1,2.33,0,0
FI,2015,188,7/7/2015,12,,,32.94,21.87,5.05,2.43,0.01,0.35
FI,2015,188,7/7/2015,12,,,33.61,21.88,5.05,2.41,0.01,0.34
FI,2015,188,7/7/2015,14,,,33.08,21.83,5.05,2.41,0.23,0.45
FI,2015,188,7/7/2015,16,,,33.57,21.96,5.1,2.44,0.7,0.55
FI,2015,188,7/7/2015,18,,,33.67,21.66,5.25,2.45,0.49,0.56
FI,2015,202,7/21/2015,0,,,22.38,20.95,5.03,2.29,0,0
FI,2015,202,7/21/2015,4,,,23.68,21,5.14,2.31,0,0
FI,2015,202,7/21/2015,4,,,23.65,21.08,5.05,2.34,0,0
FI,2015,218,8/6/2015,0,9.17,1.54,20.73,20.13,4.94,2.35,0.01,0
FI,2015,218,8/6/2015,4,9.18,1.53,21.36,20.03,5.15,2.39,0,0
FI,2015,218,8/6/2015,6,8.88,1.58,28.62,20.27,4.99,2.39,0,0.13
FI,2015,218,8/6/2015,8,8.94,1.82,31.22,20.47,5.05,2.39,0,0.05
FI,2015,218,8/6/2015,10,,,31.27,20.26,4.87,2.39,0.06,0.13
FI,2015,218,8/6/2015,12,8.96,1.14,31.4,20.56,4.96,2.37,0.21,0.33
FI,2015,218,8/6/2015,12,8.97,1.11,31.41,20.46,5.07,2.49,0.19,0.34
FI,2015,218,8/6/2015,14,,,31.76,20.54,5,2.45,0.46,0.45
FI,2015,218,8/6/2015,16,9.01,0.88,31.91,20.6,4.93,2.48,0.69,0.51
FI,2015,218,8/6/2015,18,9.04,0.81,32.45,20.71,5.06,2.53,0.78,0.53
FI,2015,230,8/18/2015,0,,,20.71,21.31,5.27,2.32,0,0
FI,2015,230,8/18/2015,0,,,20.78,21.34,5.44,2.34,0,0
FI,2015,230,8/18/2015,4,,,22.31,21.46,5.23,2.39,0,0
FI,2015,243,8/31/2015,0,,,22.81,21.39,5.21,2.36,0,0
